SDF assignment March 2019, simulated position coordinate readings
 LZF, 12 Mar 2019
 time/s xMeas/m yMeas/m
00726180 -2461.79 -2501.93
00726240 -2462.07 -2501.50
00726300 -2463.19 -2503.55
00726360 -2464.98 -2503.47
00726420 -2466.02 -2503.51
00726480 -2467.48 -2503.84
00726540 -2468.32 -2504.16
00726600 -2469.27 -2505.17
00726660 -2471.40 -2504.61
00726720 -2472.44 -2506.01
00726780 -2473.32 -2505.72
00726840 -2473.89 -2505.65
00726900 -2475.87 -2505.21
00726960 -2477.12 -2506.39
00727020 -2479.65 -2506.72
00727080 -2479.71 -2507.34
00727140 -2481.12 -2506.54
00727200 -2482.35 -2506.85
00727260 -2483.89 -2507.35
00727320 -2485.16 -2508.40
00727380 -2485.55 -2509.05
00727440 -2488.07 -2508.76
00727500 -2489.32 -2509.42
00727560 -2490.86 -2508.78
00727620 -2490.21 -2510.08
00727680 -2490.28 -2509.95
00727740 -2491.21 -2511.52
00727800 -2491.87 -2510.28
00727860 -2491.02 -2511.30
00727920 -2492.85 -2511.83
00727980 -2492.48 -2511.67
00728040 -2492.35 -2512.05
00728100 -2493.35 -2512.05
00728160 -2494.62 -2511.99
00728220 -2494.98 -2512.80
00728280 -2495.19 -2512.48
00728340 -2495.43 -2513.67
00728400 -2496.03 -2513.47
00728460 -2495.61 -2513.96
00728520 -2496.26 -2514.69
00728580 -2495.80 -2515.38
00728640 -2496.46 -2515.41
00728700 -2496.80 -2514.96
00728760 -2497.29 -2515.86
00728820 -2496.68 -2515.59
00728880 -2497.60 -2516.25
00728940 -2498.57 -2516.53
00729000 -2498.77 -2517.26
00729060 -2499.74 -2517.62
00729120 -2499.72 -2516.54
00729180 -2500.17 -2517.36
00729240 -2500.35 -2518.10
00729300 -2499.88 -2518.86
00729360 -2500.14 -2519.30
00729420 -2501.50 -2518.35
00729480 -2501.31 -2519.70
00729540 -2501.79 -2520.41
00729600 -2502.68 -2520.40
00729660 -2502.69 -2520.09
00729720 -2503.74 -2520.18
00729780 -2503.85 -2521.14
00729840 -2503.42 -2521.65
00729900 -2504.46 -2522.10
00729960 -2505.10 -2521.45
00730020 -2504.96 -2522.25
00730080 -2505.85 -2522.25
00730140 -2505.49 -2523.12
00730200 -2505.13 -2523.26
00730260 -2506.47 -2523.50
00730320 -2506.42 -2523.63
00730380 -2506.57 -2524.43
00730440 -2508.34 -2524.30
00730500 -2507.28 -2524.94
00730560 -2507.61 -2525.13
00730620 -2508.38 -2526.29
00730680 -2508.77 -2525.79
00730740 -2509.77 -2526.73
00730800 -2508.80 -2525.79
00730860 -2509.57 -2527.39
00730920 -2510.76 -2526.45
00730980 -2510.32 -2527.25
00731040 -2511.47 -2527.09
00731100 -2511.48 -2527.54
00731160 -2512.22 -2528.24
00731220 -2512.13 -2528.75
00731280 -2512.00 -2528.99
00731340 -2513.52 -2529.09
00731400 -2513.59 -2529.70
00731460 -2513.00 -2528.71
00731520 -2513.21 -2529.63
00731580 -2514.30 -2530.48
00731640 -2514.82 -2530.46
00731700 -2514.69 -2530.61
00731760 -2515.21 -2531.47
00731820 -2515.74 -2531.24
00731880 -2516.04 -2531.44
00731940 -2516.00 -2531.87
00732000 -2516.73 -2532.40
00732060 -2517.08 -2532.30
00732120 -2517.06 -2532.15
00732180 -2517.63 -2533.09
00732240 -2517.98 -2534.44
00732300 -2517.90 -2534.79
00732360 -2518.58 -2534.13
00732420 -2519.71 -2534.13
00732480 -2519.18 -2534.52
00732540 -2520.09 -2535.11
00732600 -2520.14 -2536.35
00732660 -2520.96 -2536.78
00732720 -2521.19 -2535.18
00732780 -2521.37 -2535.60
00732840 -2521.71 -2537.52
00732900 -2522.12 -2537.04
00732960 -2522.71 -2537.58
00733020 -2523.18 -2537.88
00733080 -2523.92 -2538.16
00733140 -2522.70 -2538.08
00733200 -2524.34 -2539.02
00733260 -2523.93 -2539.44
00733320 -2525.36 -2538.31
00733380 -2524.61 -2539.75
00733440 -2525.25 -2540.10
00733500 -2525.33 -2539.98
00733560 -2526.52 -2540.17
00733620 -2526.33 -2540.99
00733680 -2526.92 -2540.77
00733740 -2527.25 -2542.26
00733800 -2528.32 -2542.89
00733860 -2529.94 -2543.53
00733920 -2531.10 -2544.20
00733980 -2531.20 -2544.10
00734040 -2533.11 -2546.38
00734100 -2533.47 -2546.25
00734160 -2534.68 -2547.22
00734220 -2535.11 -2548.38
00734280 -2535.76 -2548.58
00734340 -2536.77 -2549.83
00734400 -2538.26 -2551.54
00734460 -2538.31 -2551.79
00734520 -2539.26 -2551.47
00734580 -2540.79 -2552.45
00734640 -2541.35 -2553.70
00734700 -2542.27 -2554.60
00734760 -2543.36 -2554.91
00734820 -2544.15 -2556.14
00734880 -2544.56 -2556.94
00734940 -2546.63 -2557.89
00735000 -2546.69 -2558.93
00735060 -2547.45 -2559.13
00735120 -2549.11 -2559.70
00735180 -2549.28 -2561.02
00735240 -2550.99 -2562.57
00735300 -2551.64 -2562.94
00735360 -2553.06 -2562.62
00735420 -2553.12 -2564.08
00735480 -2555.13 -2564.97
00735540 -2555.12 -2565.72
00735600 -2557.16 -2565.82
00735660 -2556.92 -2567.83
00735720 -2557.40 -2567.32
00735780 -2558.55 -2567.89
00735840 -2560.38 -2569.78
00735900 -2560.68 -2569.86
00735960 -2562.23 -2571.04
00736020 -2562.41 -2571.65
00736080 -2564.61 -2572.67
00736140 -2564.94 -2573.10
00736200 -2565.91 -2574.10
00736260 -2566.71 -2573.53
00736320 -2568.26 -2576.34
00736380 -2569.47 -2576.94
00736440 -2569.58 -2577.34
00736500 -2569.82 -2577.40
00736560 -2572.86 -2578.49
00736620 -2572.64 -2578.54
00736680 -2572.80 -2581.38
00736740 -2574.26 -2580.83
00736800 -2575.38 -2582.59
00736860 -2575.84 -2583.35
00736920 -2576.39 -2583.67
00736980 -2578.01 -2583.42
00737040 -2578.41 -2584.99
00737100 -2580.08 -2585.69
00737160 -2581.09 -2586.41
00737220 -2580.63 -2586.66
00737280 -2582.22 -2588.21
00737340 -2583.85 -2588.67
00737400 -2584.41 -2588.81
00737460 -2585.57 -2591.13
00737520 -2586.58 -2591.12
00737580 -2587.12 -2591.86
00737640 -2587.74 -2593.18
00737700 -2588.51 -2593.63
00737760 -2590.01 -2594.51
00737820 -2591.83 -2594.64
00737880 -2592.10 -2595.27
00737940 -2592.97 -2596.48
00738000 -2593.55 -2598.72
00738060 -2594.66 -2598.85
00738120 -2595.46 -2598.89
00738180 -2596.38 -2599.48
00738240 -2597.74 -2600.97
00738300 -2598.43 -2601.84
00738360 -2599.97 -2602.35
00738420 -2600.92 -2603.72
00738480 -2601.15 -2604.06
00738540 -2602.72 -2605.28
00738600 -2602.95 -2606.21
00738660 -2603.41 -2605.97
00738720 -2605.27 -2606.52
00738780 -2605.85 -2607.85
00738840 -2606.77 -2608.79
00738900 -2608.82 -2609.37
00738960 -2608.67 -2610.04
00739020 -2609.08 -2610.46
00739080 -2610.51 -2611.79
00739140 -2611.88 -2612.94
00739200 -2612.40 -2612.86
00739260 -2613.21 -2614.31
00739320 -2614.40 -2614.91
00739380 -2615.32 -2615.82
00739440 -2615.73 -2616.35
00739500 -2616.90 -2616.25
00739560 -2617.75 -2617.78
00739620 -2618.60 -2619.51
00739680 -2618.91 -2620.22
00739740 -2618.64 -2620.08
00739800 -2618.96 -2620.29
00739860 -2618.92 -2620.35
00739920 -2619.90 -2622.23
00739980 -2619.02 -2622.81
00740040 -2620.86 -2622.97
00740100 -2620.48 -2624.18
00740160 -2621.52 -2625.07
00740220 -2621.94 -2626.94
00740280 -2621.94 -2625.86
00740340 -2622.12 -2626.97
00740400 -2621.51 -2627.33
00740460 -2622.49 -2628.21
00740520 -2622.83 -2629.07
00740580 -2624.50 -2629.79
00740640 -2624.03 -2630.61
00740700 -2624.24 -2631.70
00740760 -2624.56 -2632.01
00740820 -2624.30 -2631.83
00740880 -2624.83 -2632.35
00740940 -2625.85 -2633.87
00741000 -2626.14 -2633.99
00741060 -2626.28 -2635.15
00741120 -2626.45 -2635.86
00741180 -2625.84 -2636.75
00741240 -2626.32 -2637.04
00741300 -2626.79 -2638.77
00741360 -2627.15 -2638.06
00741420 -2628.04 -2640.34
00741480 -2628.48 -2639.10
00741540 -2628.48 -2640.88
00741600 -2629.49 -2640.80
00741660 -2628.90 -2641.57
00741720 -2628.93 -2642.08
00741780 -2629.36 -2643.41
00741840 -2630.19 -2643.94
00741900 -2629.83 -2644.31
00741960 -2630.44 -2644.82
00742020 -2630.57 -2645.79
00742080 -2630.13 -2646.17
00742140 -2631.93 -2647.63
00742200 -2632.04 -2648.74
00742260 -2632.58 -2649.32
00742320 -2631.40 -2650.18
00742380 -2632.96 -2650.42
00742440 -2632.17 -2649.71
00742500 -2632.32 -2649.74
00742560 -2633.46 -2649.39
00742620 -2632.33 -2649.84
00742680 -2632.49 -2651.37
00742740 -2632.11 -2649.72
00742800 -2632.08 -2649.22
00742860 -2632.45 -2649.60
00742920 -2633.29 -2650.16
00742980 -2631.90 -2650.19
00743040 -2631.80 -2650.22
00743100 -2633.47 -2650.40
00743160 -2631.55 -2650.50
00743220 -2632.02 -2650.01
00743280 -2632.38 -2650.55
00743340 -2631.69 -2650.66
00743400 -2631.68 -2651.21
00743460 -2632.20 -2649.57
00743520 -2631.81 -2650.60
00743580 -2632.86 -2650.27
00743640 -2632.99 -2651.16
00743700 -2633.01 -2651.41
00743760 -2632.52 -2650.16
00743820 -2631.96 -2650.94
00743880 -2632.86 -2650.21
00743940 -2632.28 -2651.33
00744000 -2632.17 -2650.37
00744060 -2632.31 -2650.24
00744120 -2632.30 -2649.88
00744180 -2632.04 -2649.81
00744240 -2631.62 -2650.27
00744300 -2632.54 -2651.13
00744360 -2631.94 -2650.24
00744420 -2632.74 -2650.97
00744480 -2632.55 -2650.35
00744540 -2631.48 -2650.87
00744600 -2631.61 -2649.20
00744660 -2632.32 -2651.02
00744720 -2633.00 -2649.75
00744780 -2632.15 -2650.52
00744840 -2632.81 -2651.13
00744900 -2632.70 -2649.73
00744960 -2632.27 -2650.05
00745020 -2631.87 -2651.01
00745080 -2632.50 -2651.45
00745140 -2631.97 -2652.01
00745200 -2632.13 -2651.14
00745260 -2632.57 -2651.08
00745320 -2632.03 -2649.80
00745380 -2631.66 -2651.19
00745440 -2632.85 -2650.96
00745500 -2632.25 -2651.16
00745560 -2632.10 -2651.70
00745620 -2631.58 -2651.41
00745680 -2631.81 -2649.60
00745740 -2631.47 -2650.71
00745800 -2632.16 -2651.27
00745860 -2631.57 -2650.79
00745920 -2632.58 -2649.97
00745980 -2630.98 -2650.67
00746040 -2630.75 -2650.18
00746100 -2631.94 -2650.43
00746160 -2631.56 -2651.28
00746220 -2632.94 -2650.36
00746280 -2633.16 -2651.51
00746340 -2632.26 -2651.15
00746400 -2631.83 -2650.76
00746460 -2632.16 -2650.48
00746520 -2632.03 -2651.12
00746580 -2632.31 -2651.95
00746640 -2632.13 -2650.59
00746700 -2632.28 -2651.09
00746760 -2632.16 -2651.29
00746820 -2631.55 -2650.43
00746880 -2632.09 -2650.56
00746940 -2632.14 -2650.31
00747000 -2632.05 -2650.56
00747060 -2632.53 -2651.30
00747120 -2632.59 -2651.03
00747180 -2632.60 -2650.60
00747240 -2632.66 -2651.46
00747300 -2631.46 -2651.60
00747360 -2632.25 -2650.34
00747420 -2632.72 -2650.97
00747480 -2631.74 -2651.12
00747540 -2631.02 -2651.81
00747600 -2632.61 -2650.84
00747660 -2630.97 -2650.34
00747720 -2631.33 -2650.84
00747780 -2631.43 -2650.90
00747840 -2632.15 -2650.12
00747900 -2632.38 -2650.56
00747960 -2631.45 -2651.78
00748020 -2631.57 -2650.82
00748080 -2632.13 -2650.82
00748140 -2631.10 -2650.20
00748200 -2631.20 -2650.18
00748260 -2631.68 -2650.27
00748320 -2631.81 -2651.16
00748380 -2633.00 -2650.79
00748440 -2632.44 -2651.59
00748500 -2632.40 -2651.31
00748560 -2633.74 -2651.61
00748620 -2635.34 -2651.90
00748680 -2635.01 -2652.25
00748740 -2636.24 -2651.74
00748800 -2637.15 -2651.15
00748860 -2638.59 -2651.22
00748920 -2638.06 -2652.00
00748980 -2639.96 -2652.34
00749040 -2641.35 -2653.23
00749100 -2642.01 -2653.24
00749160 -2642.04 -2652.23
00749220 -2643.07 -2652.50
00749280 -2644.10 -2651.88
00749340 -2644.43 -2651.91
00749400 -2646.82 -2653.09
00749460 -2647.23 -2652.99
00749520 -2649.14 -2652.48
00749580 -2649.75 -2652.27
00749640 -2649.94 -2652.98
00749700 -2651.06 -2653.72
00749760 -2650.78 -2653.31
00749820 -2652.33 -2653.18
00749880 -2653.11 -2653.06
00749940 -2654.68 -2653.84
00750000 -2655.49 -2653.82
00750060 -2656.00 -2654.63
00750120 -2657.35 -2654.10
00750180 -2658.21 -2654.14
00750240 -2659.78 -2654.85
00750300 -2659.72 -2653.83
00750360 -2660.41 -2653.72
00750420 -2661.98 -2654.48
00750480 -2662.78 -2654.75
00750540 -2663.49 -2654.31
00750600 -2664.21 -2655.08
00750660 -2665.03 -2654.07
00750720 -2666.68 -2655.31
00750780 -2667.27 -2655.28
00750840 -2669.00 -2655.22
00750900 -2670.25 -2654.64
00750960 -2669.69 -2655.32
00751020 -2671.02 -2655.23
00751080 -2670.60 -2654.66
00751140 -2672.18 -2655.55
00751200 -2673.72 -2655.66
00751260 -2674.54 -2655.93
00751320 -2675.28 -2655.55
00751380 -2675.21 -2655.57
00751440 -2676.56 -2655.77
00751500 -2678.87 -2655.93
00751560 -2678.68 -2656.59
00751620 -2679.07 -2656.08
00751680 -2680.74 -2655.93
00751740 -2681.04 -2656.39
00751800 -2682.24 -2655.91
00751860 -2683.54 -2655.88
00751920 -2684.39 -2656.25
00751980 -2685.02 -2656.70
00752040 -2686.33 -2657.66
00752100 -2686.93 -2657.01
00752160 -2687.18 -2656.97
00752220 -2688.26 -2656.88
00752280 -2689.40 -2657.47
00752340 -2690.72 -2656.60
00752400 -2691.62 -2658.17
00752460 -2692.92 -2656.48
00752520 -2693.18 -2657.68
00752580 -2693.10 -2657.28
00752640 -2695.29 -2658.22
00752700 -2695.57 -2656.99
00752760 -2696.88 -2658.17
00752820 -2697.65 -2658.32
00752880 -2698.85 -2658.51
00752940 -2699.76 -2658.13
00753000 -2700.18 -2658.04
00753060 -2700.60 -2658.57
00753120 -2702.59 -2658.57
00753180 -2702.49 -2658.64
00753240 -2704.08 -2658.43
00753300 -2704.81 -2658.22
00753360 -2706.11 -2658.84
00753420 -2706.78 -2658.61
00753480 -2707.57 -2658.90
00753540 -2708.23 -2658.30
00753600 -2709.53 -2658.84
00753660 -2710.19 -2659.39
00753720 -2711.87 -2659.85
00753780 -2712.14 -2659.17
00753840 -2713.22 -2659.15
00753900 -2714.03 -2659.58
00753960 -2714.61 -2659.81
00754020 -2715.77 -2660.08
00754080 -2717.76 -2659.89
00754140 -2717.43 -2659.50
00754200 -2718.93 -2660.91
00754260 -2719.66 -2660.42
00754320 -2719.60 -2660.78
00754380 -2721.03 -2660.79
00754440 -2722.70 -2660.09
00754500 -2722.98 -2661.08
00754560 -2723.41 -2660.57
00754620 -2724.91 -2661.47
00754680 -2726.58 -2660.87
00754740 -2727.49 -2660.54
00754800 -2727.48 -2661.80
00754860 -2728.36 -2660.76
00754920 -2729.19 -2661.74
00754980 -2730.37 -2660.61
00755040 -2730.93 -2662.00
00755100 -2732.36 -2660.59
00755160 -2732.83 -2662.23
00755220 -2733.97 -2662.08
00755280 -2734.45 -2662.58
00755340 -2735.12 -2661.81
00755400 -2737.01 -2661.95
00755460 -2736.88 -2662.27
00755520 -2738.58 -2662.28
00755580 -2739.60 -2662.32
00755640 -2739.85 -2662.21
00755700 -2741.57 -2662.79
00755760 -2741.81 -2662.55
00755820 -2742.98 -2663.25
00755880 -2743.54 -2662.43
00755940 -2745.57 -2663.28
00756000 -2745.72 -2664.35
00756060 -2747.01 -2663.40
00756120 -2747.98 -2662.60
00756180 -2748.84 -2663.44
00756240 -2749.39 -2663.64
00756300 -2750.03 -2662.41
00756360 -2750.54 -2663.34
00756420 -2752.46 -2663.26
00756480 -2751.96 -2663.68
00756540 -2753.89 -2664.03
00756600 -2754.77 -2664.72
00756660 -2754.50 -2663.54
00756720 -2756.38 -2664.65
00756780 -2757.31 -2664.63
00756840 -2757.34 -2663.88
00756900 -2759.30 -2663.93
00756960 -2760.23 -2664.39
00757020 -2761.38 -2665.85
00757080 -2761.75 -2665.39
00757140 -2763.59 -2665.41
00757200 -2764.18 -2664.88
00757260 -2763.87 -2664.82
00757320 -2765.40 -2665.12
00757380 -2765.84 -2665.55
00757440 -2767.59 -2665.78
00757500 -2768.01 -2665.06
00757560 -2768.92 -2664.67
00757620 -2770.78 -2665.83
00757680 -2771.15 -2665.49
00757740 -2771.62 -2664.16
00757800 -2772.77 -2664.91
00757860 -2773.98 -2664.13
00757920 -2774.27 -2664.03
00757980 -2775.79 -2664.40
00758040 -2776.27 -2664.92
00758100 -2778.30 -2664.83
00758160 -2778.46 -2663.88
00758220 -2780.21 -2664.11
00758280 -2780.30 -2662.97
00758340 -2781.47 -2663.15
00758400 -2782.93 -2663.47
00758460 -2782.84 -2662.87
00758520 -2784.85 -2663.43
00758580 -2785.23 -2663.20
00758640 -2786.54 -2663.21
00758700 -2787.73 -2662.66
00758760 -2788.35 -2661.91
00758820 -2788.86 -2661.79
00758880 -2788.98 -2661.63
00758940 -2790.66 -2662.25
00759000 -2792.39 -2662.07
00759060 -2793.25 -2661.33
00759120 -2793.64 -2661.48
00759180 -2795.75 -2661.57
00759240 -2795.52 -2660.75
00759300 -2796.84 -2660.62
00759360 -2798.46 -2660.74
00759420 -2798.64 -2660.96
00759480 -2800.27 -2661.00
00759540 -2800.51 -2658.58
00759600 -2801.79 -2660.93
00759660 -2803.54 -2659.84
00759720 -2804.23 -2659.67
00759780 -2804.93 -2658.75
00759840 -2804.93 -2659.21
00759900 -2806.68 -2659.70
00759960 -2807.43 -2659.97
00760020 -2808.74 -2659.66
00760080 -2808.98 -2658.97
00760140 -2811.03 -2659.01
00760200 -2810.61 -2658.40
00760260 -2812.56 -2658.25
00760320 -2812.67 -2657.40
00760380 -2814.97 -2657.86
00760440 -2815.69 -2657.79
00760500 -2816.49 -2657.64
00760560 -2817.51 -2657.94
00760620 -2817.79 -2656.63
00760680 -2818.47 -2656.72
00760740 -2819.93 -2657.37
00760800 -2820.69 -2656.20
00760860 -2822.03 -2656.81
00760920 -2823.63 -2656.92
00760980 -2824.41 -2655.39
00761040 -2824.75 -2656.75
00761100 -2825.99 -2656.12
00761160 -2826.26 -2655.16
00761220 -2827.18 -2655.14
00761280 -2828.36 -2655.59
00761340 -2829.78 -2655.32
00761400 -2831.39 -2654.75
00761460 -2831.45 -2655.47
00761520 -2832.97 -2654.67
00761580 -2833.99 -2653.97
00761640 -2834.12 -2654.10
00761700 -2835.85 -2653.49
00761760 -2836.66 -2653.67
00761820 -2836.99 -2653.53
00761880 -2837.91 -2652.37
00761940 -2838.55 -2653.54
00762000 -2839.99 -2653.08
00762060 -2840.59 -2652.52
00762120 -2842.40 -2653.65
00762180 -2843.67 -2653.20
00762240 -2844.50 -2652.27
00762300 -2844.68 -2652.66
00762360 -2845.50 -2652.78
00762420 -2846.68 -2652.53
00762480 -2848.06 -2651.51
00762540 -2849.07 -2651.66
00762600 -2849.58 -2651.03
00762660 -2850.47 -2651.65
00762720 -2851.46 -2651.51
00762780 -2852.42 -2650.95
00762840 -2853.92 -2651.14
00762900 -2854.60 -2650.90
00762960 -2855.23 -2651.19
00763020 -2856.33 -2650.13
00763080 -2857.12 -2649.89
00763140 -2858.11 -2650.48
00763200 -2859.10 -2650.10
00763260 -2860.22 -2650.69
00763320 -2861.15 -2649.74
00763380 -2862.72 -2648.93
00763440 -2863.29 -2649.12
00763500 -2864.28 -2649.36
00763560 -2864.96 -2649.86
00763620 -2867.10 -2650.05
00763680 -2867.03 -2649.09
00763740 -2868.14 -2648.30
00763800 -2869.25 -2647.95
00763860 -2870.36 -2647.95
00763920 -2870.38 -2648.08
00763980 -2872.17 -2647.47
00764040 -2872.79 -2646.25
00764100 -2873.94 -2647.02
00764160 -2874.15 -2647.43
00764220 -2876.07 -2647.03
00764280 -2877.31 -2646.19
00764340 -2877.68 -2646.43
00764400 -2879.68 -2646.76
00764460 -2879.13 -2646.29
00764520 -2879.95 -2646.16
00764580 -2882.08 -2646.08
00764640 -2882.92 -2645.65
00764700 -2883.79 -2645.52
00764760 -2884.42 -2644.77
00764820 -2886.65 -2644.81
00764880 -2885.95 -2645.59
00764940 -2886.89 -2644.84
00765000 -2888.72 -2644.74
00765060 -2889.92 -2645.20
00765120 -2890.69 -2644.87
00765180 -2891.26 -2644.50
00765240 -2892.23 -2643.71
00765300 -2891.53 -2643.63
00765360 -2893.83 -2643.47
00765420 -2895.27 -2643.37
00765480 -2896.85 -2643.73
00765540 -2896.85 -2643.26
00765600 -2897.63 -2643.69
00765660 -2899.52 -2642.09
00765720 -2898.97 -2642.73
00765780 -2899.89 -2642.05
00765840 -2898.85 -2641.11
00765900 -2898.83 -2641.51
00765960 -2898.43 -2638.96
00766020 -2899.09 -2639.47
00766080 -2898.21 -2639.33
00766140 -2897.83 -2637.48
00766200 -2897.19 -2637.79
00766260 -2896.47 -2637.18
00766320 -2895.81 -2636.86
00766380 -2895.40 -2637.17
00766440 -2896.14 -2635.46
00766500 -2896.26 -2635.36
00766560 -2895.13 -2634.61
00766620 -2894.37 -2633.70
00766680 -2894.71 -2632.75
00766740 -2893.86 -2632.15
00766800 -2893.86 -2631.49
00766860 -2893.29 -2630.74
00766920 -2894.01 -2630.16
00766980 -2894.03 -2629.90
00767040 -2891.08 -2628.97
00767100 -2891.60 -2629.17
00767160 -2891.19 -2628.51
00767220 -2892.30 -2628.04
00767280 -2890.74 -2627.04
00767340 -2891.25 -2626.40
00767400 -2891.49 -2626.35
00767460 -2889.95 -2625.23
00767520 -2890.90 -2623.97
00767580 -2890.02 -2623.97
00767640 -2889.44 -2623.35
00767700 -2889.28 -2622.46
00767760 -2888.51 -2622.42
00767820 -2887.91 -2621.65
00767880 -2888.19 -2621.91
00767940 -2887.86 -2620.76
00768000 -2886.92 -2619.19
00768060 -2888.08 -2618.64
00768120 -2887.26 -2619.57
00768180 -2885.69 -2617.54
00768240 -2885.59 -2615.63
00768300 -2884.52 -2614.32
00768360 -2884.18 -2612.89
00768420 -2882.37 -2610.84
00768480 -2882.82 -2609.15
00768540 -2882.00 -2608.76
00768600 -2881.82 -2605.77
00768660 -2880.62 -2604.37
00768720 -2879.75 -2603.26
00768780 -2879.11 -2601.37
00768840 -2877.23 -2600.13
00768900 -2877.21 -2598.05
00768960 -2877.00 -2596.38
00769020 -2875.62 -2594.05
00769080 -2874.84 -2593.69
00769140 -2874.03 -2591.98
00769200 -2873.20 -2590.85
00769260 -2872.57 -2589.15
00769320 -2871.47 -2587.12
00769380 -2871.40 -2585.80
00769440 -2870.52 -2583.62
00769500 -2869.26 -2582.52
00769560 -2868.38 -2580.41
00769620 -2868.68 -2579.36
00769680 -2867.16 -2577.76
00769740 -2866.78 -2576.94
00769800 -2865.45 -2574.22
00769860 -2863.90 -2573.27
00769920 -2864.03 -2572.58
00769980 -2863.92 -2571.13
00770040 -2862.93 -2569.24
00770100 -2861.15 -2567.93
00770160 -2861.50 -2565.28
00770220 -2861.30 -2564.40
00770280 -2859.58 -2561.97
00770340 -2859.52 -2561.28
00770400 -2859.18 -2562.77
00770460 -2859.87 -2561.79
00770520 -2859.65 -2562.02
00770580 -2859.65 -2564.60
00770640 -2860.74 -2563.89
00770700 -2860.69 -2565.44
00770760 -2861.37 -2565.52
00770820 -2861.55 -2566.45
00770880 -2861.02 -2567.73
00770940 -2862.25 -2568.04
00771000 -2861.83 -2569.12
00771060 -2862.39 -2569.07
00771120 -2861.93 -2570.25
00771180 -2861.73 -2570.91
00771240 -2863.96 -2571.89
00771300 -2863.48 -2572.83
00771360 -2863.38 -2573.93
00771420 -2863.77 -2574.17
00771480 -2863.49 -2574.87
00771540 -2863.49 -2575.07
00771600 -2863.79 -2576.63
00771660 -2864.13 -2577.16
00771720 -2864.15 -2577.11
00771780 -2866.57 -2577.99
00771840 -2865.28 -2578.44
00771900 -2866.62 -2579.02
00771960 -2866.80 -2580.61
00772020 -2866.76 -2580.99
