SDF assignment March 2019, simulated position coordinate readings
 LZF, 12 Mar 2019
01503000 -4280.61 -6049.17 7410.93 -2.186482
01503060 -4279.48 -6050.75 7411.01 -2.186616
01503120 -4280.24 -6049.82 7410.54 -2.186591
01503180 -4278.52 -6050.26 7410.97 -2.186653
01503240 -4278.68 -6051.06 7409.92 -2.186492
01503300 -4279.19 -6050.79 7411.85 -2.186230
01503360 -4278.71 -6051.22 7410.77 -2.186436
01503420 -4278.66 -6050.98 7410.24 -2.186149
01503480 -4278.39 -6051.33 7412.95 -2.186265
01503540 -4278.04 -6052.88 7412.11 -2.186108
01503600 -4278.04 -6052.77 7410.51 -2.186017
01503660 -4277.04 -6053.92 7411.88 -2.185921
01503720 -4277.85 -6054.46 7412.04 -2.186036
01503780 -4276.99 -6053.87 7412.97 -2.186007
01503840 -4277.04 -6054.76 7412.05 -2.185760
01503900 -4276.80 -6055.69 7412.37 -2.185850
01503960 -4276.55 -6054.19 7414.25 -2.185649
01504020 -4274.87 -6055.24 7413.01 -2.185763
01504080 -4276.57 -6056.94 7416.03 -2.185718
01504140 -4275.47 -6057.07 7413.36 -2.185500
01504200 -4275.65 -6057.77 7414.74 -2.185455
01504260 -4276.77 -6057.31 7413.83 -2.185488
01504320 -4275.36 -6058.00 7414.73 -2.185360
01504380 -4276.26 -6058.42 7414.20 -2.185166
01504440 -4276.14 -6058.52 7415.01 -2.185273
01504500 -4274.27 -6059.11 7416.33 -2.185130
01504560 -4275.20 -6059.40 7415.53 -2.185362
01504620 -4274.39 -6060.32 7416.27 -2.185188
01504680 -4274.58 -6060.53 7414.95 -2.185203
01504740 -4274.47 -6060.82 7416.49 -2.184931
01504800 -4273.06 -6060.68 7415.58 -2.185055
01504860 -4274.51 -6060.98 7415.44 -2.184735
01504920 -4273.68 -6061.60 7417.18 -2.184887
01504980 -4273.04 -6062.10 7417.56 -2.184725
01505040 -4273.24 -6063.02 7416.71 -2.184781
01505100 -4272.75 -6063.09 7418.97 -2.184839
01505160 -4273.11 -6064.31 7417.25 -2.184509
01505220 -4273.05 -6063.96 7418.04 -2.184643
01505280 -4272.20 -6063.27 7418.83 -2.184559
01505340 -4272.98 -6063.93 7416.72 -2.184487
01505400 -4271.75 -6064.96 7419.10 -2.184586
01505460 -4272.75 -6065.14 7417.31 -2.184594
01505520 -4272.05 -6066.01 7418.95 -2.184426
01505580 -4271.29 -6065.56 7417.65 -2.184405
01505640 -4271.46 -6066.44 7419.54 -2.184400
01505700 -4272.56 -6067.26 7419.86 -2.184304
01505760 -4270.15 -6067.19 7418.75 -2.184299
01505820 -4270.71 -6067.38 7420.40 -2.184332
01505880 -4270.45 -6067.81 7420.39 -2.184217
01505940 -4270.82 -6068.14 7420.56 -2.184046
01506000 -4271.14 -6067.75 7420.41 -2.183977
01506060 -4269.66 -6068.95 7420.16 -2.183835
01506120 -4270.83 -6069.26 7422.41 -2.183833
01506180 -4270.29 -6069.57 7422.32 -2.183825
01506240 -4269.70 -6069.20 7421.46 -2.183750
01506300 -4270.46 -6069.02 7421.22 -2.183940
01506360 -4268.86 -6070.85 7422.10 -2.183601
01506420 -4268.97 -6070.97 7423.15 -2.183702
01506480 -4269.22 -6071.56 7423.53 -2.183650
01506540 -4269.19 -6072.71 7422.71 -2.183298
01506600 -4268.34 -6072.46 7422.87 -2.183533
01506660 -4268.57 -6072.33 7422.50 -2.183258
01506720 -4268.78 -6073.32 7423.65 -2.183515
01506780 -4268.70 -6073.39 7424.40 -2.183259
01506840 -4268.69 -6073.11 7422.05 -2.183220
01506900 -4268.05 -6074.35 7421.50 -2.183403
01506960 -4267.87 -6074.01 7423.97 -2.183304
01507020 -4267.10 -6075.61 7424.22 -2.183130
01507080 -4266.44 -6075.10 7424.85 -2.183130
01507140 -4266.51 -6076.11 7425.11 -2.182956
01507200 -4266.62 -6076.29 7426.16 -2.183070
01507260 -4266.80 -6076.67 7424.99 -2.182999
01507320 -4266.91 -6077.27 7424.15 -2.183102
01507380 -4266.97 -6077.72 7424.07 -2.182886
01507440 -4266.27 -6076.80 7425.01 -2.182866
01507500 -4265.61 -6077.74 7426.47 -2.182929
01507560 -4266.27 -6078.33 7426.57 -2.182636
01507620 -4265.50 -6078.47 7426.70 -2.182811
01507680 -4265.22 -6079.05 7427.59 -2.182832
01507740 -4264.96 -6079.41 7426.44 -2.182629
01507800 -4264.86 -6080.27 7427.56 -2.182577
01507860 -4265.39 -6080.34 7426.08 -2.182327
01507920 -4264.61 -6080.80 7425.75 -2.182624
01507980 -4265.21 -6080.91 7427.92 -2.182518
01508040 -4263.01 -6080.75 7428.71 -2.182429
01508100 -4264.34 -6081.51 7427.80 -2.182185
01508160 -4263.84 -6082.18 7429.15 -2.182023
01508220 -4263.57 -6083.18 7427.35 -2.182181
01508280 -4263.66 -6082.66 7429.64 -2.182150
01508340 -4263.37 -6083.44 7428.58 -2.182034
01508400 -4263.78 -6083.30 7428.06 -2.182197
01508460 -4264.04 -6084.01 7427.98 -2.181991
01508520 -4263.36 -6084.24 7427.39 -2.181847
01508580 -4262.70 -6083.72 7429.07 -2.181990
01508640 -4263.19 -6086.06 7429.13 -2.181806
01508700 -4262.23 -6085.22 7431.37 -2.181875
01508760 -4263.20 -6085.42 7430.81 -2.181632
01508820 -4261.78 -6085.48 7431.00 -2.181584
01508880 -4262.54 -6086.81 7430.29 -2.181547
01508940 -4261.34 -6087.06 7430.60 -2.181604
01509000 -4259.83 -6086.35 7431.38 -2.181591
01509060 -4262.06 -6087.45 7431.12 -2.181633
01509120 -4260.70 -6087.78 7431.31 -2.181520
01509180 -4261.56 -6087.86 7430.15 -2.181496
01509240 -4261.57 -6088.33 7431.57 -2.181332
01509300 -4260.32 -6089.58 7430.93 -2.181393
01509360 -4261.40 -6090.51 7432.78 -2.181283
01509420 -4261.03 -6090.28 7431.48 -2.181382
01509480 -4259.86 -6090.53 7432.78 -2.181178
01509540 -4260.14 -6090.11 7432.23 -2.181173
01509600 -4259.75 -6090.73 7433.71 -2.181062
01509660 -4259.27 -6091.67 7433.57 -2.181104
01509720 -4259.34 -6091.06 7431.85 -2.180929
01509780 -4259.41 -6092.44 7433.83 -2.180883
01509840 -4259.98 -6093.23 7433.45 -2.180955
01509900 -4259.49 -6092.53 7433.71 -2.180604
01509960 -4258.91 -6093.03 7434.23 -2.180634
01510020 -4259.48 -6094.41 7433.54 -2.180802
01510080 -4258.36 -6094.68 7435.54 -2.180700
01510140 -4257.54 -6094.83 7435.10 -2.180796
01510200 -4258.02 -6095.37 7433.34 -2.180640
01510260 -4258.06 -6095.44 7434.44 -2.180681
01510320 -4257.14 -6095.94 7434.70 -2.180417
01510380 -4257.04 -6095.46 7435.48 -2.180342
01510440 -4257.59 -6095.47 7437.46 -2.180258
01510500 -4257.74 -6096.38 7435.97 -2.180299
01510560 -4257.82 -6096.67 7436.97 -2.180301
01510620 -4258.00 -6097.79 7436.63 -2.180272
01510680 -4257.29 -6097.84 7435.30 -2.180132
01510740 -4257.53 -6098.31 7437.13 -2.180030
01510800 -4256.07 -6098.64 7438.36 -2.180115
01510860 -4256.66 -6100.03 7438.00 -2.180137
01510920 -4255.87 -6099.20 7438.81 -2.180108
01510980 -4255.69 -6099.84 7437.44 -2.179979
01511040 -4255.77 -6100.31 7439.40 -2.179921
01511100 -4255.59 -6101.49 7438.78 -2.179906
01511160 -4255.19 -6101.01 7438.95 -2.179868
01511220 -4254.64 -6101.15 7438.44 -2.179656
01511280 -4255.03 -6101.80 7441.40 -2.179800
01511340 -4255.07 -6102.47 7438.44 -2.179608
01511400 -4254.66 -6102.84 7439.35 -2.179768
01511460 -4254.27 -6102.68 7439.54 -2.179682
01511520 -4254.69 -6103.07 7438.90 -2.179597
01511580 -4253.70 -6103.68 7439.56 -2.179346
01511640 -4253.70 -6104.02 7440.01 -2.179377
01511700 -4253.77 -6104.58 7441.33 -2.179480
01511760 -4252.61 -6105.08 7441.23 -2.179413
01511820 -4253.37 -6104.92 7439.99 -2.179430
01511880 -4252.86 -6105.22 7439.31 -2.179148
01511940 -4253.05 -6105.45 7440.06 -2.179309
01512000 -4253.50 -6105.88 7441.67 -2.179108
01512060 -4252.80 -6106.55 7442.61 -2.179108
01512120 -4253.90 -6106.08 7443.89 -2.179075
01512180 -4252.44 -6107.21 7440.08 -2.179006
01512240 -4252.75 -6108.62 7442.12 -2.179161
01512300 -4253.32 -6109.30 7442.95 -2.179134
01512360 -4254.31 -6108.59 7443.93 -2.179086
01512420 -4253.90 -6109.16 7446.26 -2.178967
01512480 -4254.79 -6111.16 7445.46 -2.178867
01512540 -4256.14 -6110.63 7446.81 -2.179098
01512600 -4255.19 -6111.79 7445.81 -2.179293
01512660 -4255.35 -6111.85 7447.23 -2.179083
01512720 -4256.86 -6112.88 7449.90 -2.178953
01512780 -4256.82 -6113.83 7449.34 -2.178975
01512840 -4256.50 -6114.78 7449.69 -2.178955
01512900 -4257.60 -6114.87 7451.61 -2.178971
01512960 -4257.72 -6115.69 7451.29 -2.178983
01513020 -4257.93 -6115.68 7453.99 -2.179012
01513080 -4258.97 -6116.42 7454.64 -2.179155
01513140 -4259.51 -6117.22 7454.63 -2.179038
01513200 -4259.24 -6117.05 7454.93 -2.178986
01513260 -4260.48 -6117.92 7455.41 -2.178995
01513320 -4260.14 -6119.71 7456.51 -2.179003
01513380 -4262.25 -6119.61 7456.71 -2.179091
01513440 -4262.03 -6120.02 7456.40 -2.179122
01513500 -4262.48 -6121.19 7460.18 -2.178956
01513560 -4262.32 -6121.53 7460.66 -2.179031
01513620 -4262.02 -6121.53 7458.84 -2.179044
01513680 -4262.99 -6122.48 7459.39 -2.179176
01513740 -4263.67 -6123.74 7459.67 -2.178801
01513800 -4264.42 -6123.57 7461.63 -2.178997
01513860 -4264.43 -6124.19 7462.20 -2.179044
01513920 -4265.12 -6124.67 7464.54 -2.178991
01513980 -4265.94 -6126.16 7464.54 -2.179033
01514040 -4265.66 -6126.57 7465.79 -2.178990
01514100 -4266.96 -6126.96 7464.81 -2.179152
01514160 -4266.71 -6127.87 7466.67 -2.178897
01514220 -4267.29 -6127.89 7465.97 -2.179112
01514280 -4267.72 -6129.46 7470.13 -2.178993
01514340 -4268.10 -6129.81 7469.06 -2.179033
01514400 -4268.02 -6130.31 7470.37 -2.179104
01514460 -4269.31 -6131.71 7470.23 -2.179010
01514520 -4269.36 -6132.63 7471.00 -2.178925
01514580 -4269.47 -6132.48 7472.00 -2.179144
01514640 -4270.37 -6132.38 7473.48 -2.179088
01514700 -4271.63 -6133.53 7474.28 -2.178999
01514760 -4270.73 -6134.83 7475.43 -2.179004
01514820 -4272.06 -6134.68 7475.76 -2.179185
01514880 -4271.96 -6134.89 7476.39 -2.178986
01514940 -4272.85 -6136.70 7474.61 -2.179078
01515000 -4273.09 -6136.10 7478.13 -2.178942
01515060 -4273.96 -6136.02 7478.04 -2.178883
01515120 -4274.46 -6137.98 7479.07 -2.178877
01515180 -4274.53 -6138.37 7478.76 -2.178965
01515240 -4274.32 -6138.61 7480.04 -2.179089
01515300 -4274.58 -6139.37 7481.53 -2.178914
01515360 -4275.65 -6140.23 7483.51 -2.179136
01515420 -4275.45 -6141.32 7486.20 -2.178921
01515480 -4276.15 -6141.32 7484.24 -2.179022
01515540 -4276.83 -6142.54 7485.13 -2.179003
01515600 -4277.26 -6142.88 7484.30 -2.179052
01515660 -4277.34 -6143.61 7486.86 -2.179022
01515720 -4278.52 -6143.69 7487.65 -2.178821
01515780 -4278.52 -6144.13 7487.30 -2.179199
01515840 -4279.57 -6143.93 7486.08 -2.179146
01515900 -4280.16 -6142.36 7487.40 -2.179321
01515960 -4280.43 -6143.82 7486.41 -2.179352
01516020 -4281.04 -6143.11 7488.20 -2.179400
01516080 -4281.84 -6143.92 7489.48 -2.179420
01516140 -4281.98 -6143.28 7488.75 -2.179528
01516200 -4282.23 -6142.63 7486.45 -2.179566
01516260 -4283.34 -6142.48 7488.56 -2.179751
01516320 -4284.43 -6141.80 7487.14 -2.179913
01516380 -4284.61 -6141.07 7489.62 -2.179753
01516440 -4284.88 -6142.58 7488.34 -2.179981
01516500 -4285.41 -6141.76 7489.02 -2.180012
01516560 -4286.18 -6142.78 7489.47 -2.180096
01516620 -4286.90 -6140.99 7488.93 -2.180138
01516680 -4287.82 -6140.73 7489.72 -2.180257
01516740 -4288.26 -6140.91 7490.05 -2.180292
01516800 -4288.89 -6140.84 7487.67 -2.180349
01516860 -4288.97 -6141.29 7490.08 -2.180523
01516920 -4290.12 -6140.65 7489.87 -2.180532
01516980 -4289.73 -6140.68 7492.58 -2.180511
01517040 -4290.16 -6139.63 7489.38 -2.180903
01517100 -4291.90 -6139.65 7491.71 -2.180828
01517160 -4292.08 -6139.68 7491.07 -2.181003
01517220 -4292.85 -6139.75 7491.42 -2.180712
01517280 -4292.94 -6138.74 7493.19 -2.181035
01517340 -4294.17 -6138.93 7494.49 -2.181175
01517400 -4294.78 -6139.34 7494.10 -2.181180
01517460 -4295.10 -6138.51 7492.66 -2.181240
01517520 -4296.10 -6138.58 7493.01 -2.181289
01517580 -4295.59 -6139.47 7492.33 -2.181453
01517640 -4297.09 -6139.19 7491.29 -2.181459
01517700 -4297.47 -6138.33 7492.69 -2.181514
01517760 -4297.49 -6138.31 7492.37 -2.181590
01517820 -4298.40 -6137.64 7491.31 -2.181672
01517880 -4300.21 -6137.65 7495.39 -2.181935
01517940 -4298.89 -6138.60 7494.60 -2.181832
01518000 -4300.71 -6137.41 7494.28 -2.181883
01518060 -4300.66 -6137.81 7491.71 -2.181900
01518120 -4302.39 -6136.72 7493.98 -2.182114
01518180 -4301.81 -6136.13 7493.66 -2.182305
01518240 -4301.64 -6136.88 7494.86 -2.182290
01518300 -4303.73 -6137.40 7495.14 -2.182371
01518360 -4302.69 -6136.02 7495.50 -2.182441
01518420 -4303.31 -6136.57 7494.11 -2.182610
01518480 -4305.80 -6136.43 7494.47 -2.182673
01518540 -4305.34 -6136.08 7495.23 -2.182669
01518600 -4305.81 -6135.91 7495.22 -2.182695
01518660 -4307.04 -6135.95 7496.40 -2.182861
01518720 -4307.97 -6134.97 7493.55 -2.182748
01518780 -4306.56 -6134.87 7495.16 -2.182729
01518840 -4304.98 -6135.94 7496.59 -2.182641
01518900 -4306.24 -6136.14 7495.74 -2.182680
01518960 -4304.74 -6137.62 7497.81 -2.182386
01519020 -4304.14 -6137.81 7496.47 -2.182457
01519080 -4303.96 -6137.61 7496.21 -2.182270
01519140 -4302.79 -6138.77 7496.93 -2.182173
01519200 -4302.23 -6139.38 7496.66 -2.181998
01519260 -4301.44 -6139.89 7496.92 -2.181911
01519320 -4301.75 -6139.95 7497.17 -2.182002
01519380 -4300.89 -6140.22 7497.85 -2.181852
01519440 -4301.36 -6141.10 7497.65 -2.181543
01519500 -4299.77 -6141.42 7497.97 -2.181600
01519560 -4299.53 -6141.79 7499.20 -2.181508
01519620 -4298.51 -6142.81 7497.61 -2.181171
01519680 -4298.09 -6142.87 7496.07 -2.181287
01519740 -4296.86 -6143.02 7498.77 -2.181260
01519800 -4296.94 -6143.84 7497.41 -2.181098
01519860 -4296.65 -6145.27 7498.09 -2.180785
01519920 -4295.76 -6144.53 7499.74 -2.180909
01519980 -4295.38 -6146.35 7497.93 -2.180673
01520040 -4294.56 -6146.41 7499.01 -2.180830
01520100 -4295.08 -6146.34 7500.89 -2.180665
01520160 -4294.26 -6146.55 7498.06 -2.180509
01520220 -4293.46 -6147.56 7500.33 -2.180370
01520280 -4291.86 -6147.85 7499.09 -2.180240
01520340 -4291.45 -6147.89 7500.01 -2.180368
01520400 -4291.15 -6148.06 7495.79 -2.179991
01520460 -4290.71 -6149.36 7498.61 -2.179943
01520520 -4290.94 -6149.31 7496.86 -2.179979
01520580 -4289.54 -6150.60 7498.84 -2.179940
01520640 -4289.24 -6151.62 7498.46 -2.179733
01520700 -4289.04 -6151.11 7497.94 -2.179699
01520760 -4287.31 -6151.58 7498.40 -2.179611
01520820 -4287.35 -6152.50 7498.99 -2.179531
01520880 -4286.03 -6153.57 7500.13 -2.179242
01520940 -4286.53 -6154.05 7499.50 -2.179164
01521000 -4285.63 -6153.03 7499.05 -2.179182
01521060 -4285.47 -6155.07 7496.88 -2.178941
01521120 -4284.09 -6155.05 7499.41 -2.178882
01521180 -4284.25 -6156.69 7497.90 -2.178762
01521240 -4282.77 -6154.99 7500.09 -2.178867
01521300 -4283.83 -6156.90 7499.39 -2.178610
01521360 -4282.51 -6157.06 7500.96 -2.178523
01521420 -4281.29 -6156.37 7498.78 -2.178446
01521480 -4281.08 -6158.10 7501.35 -2.178389
01521540 -4281.71 -6159.04 7500.10 -2.178218
01521600 -4280.38 -6158.45 7500.53 -2.178082
01521660 -4279.33 -6159.51 7499.10 -2.177983
01521720 -4279.17 -6161.44 7499.63 -2.177885
01521780 -4278.66 -6160.55 7500.49 -2.177751
01521840 -4278.82 -6160.88 7499.04 -2.177562
01521900 -4276.80 -6161.17 7500.85 -2.177729
01521960 -4277.85 -6161.24 7500.12 -2.177611
01522020 -4276.47 -6162.34 7498.01 -2.177598
01522080 -4275.96 -6162.44 7501.19 -2.177233
01522140 -4275.02 -6163.57 7500.43 -2.177154
01522200 -4274.52 -6163.54 7499.80 -2.177271
01522260 -4274.26 -6164.69 7500.81 -2.177025
01522320 -4273.20 -6164.31 7501.16 -2.177009
01522380 -4274.54 -6165.03 7500.40 -2.176854
01522440 -4272.19 -6165.12 7500.40 -2.176715
01522500 -4272.14 -6165.98 7500.61 -2.176561
01522560 -4270.52 -6166.06 7499.97 -2.176486
01522620 -4270.91 -6166.84 7501.56 -2.176422
01522680 -4269.22 -6167.61 7498.80 -2.176299
01522740 -4269.49 -6167.30 7500.44 -2.176190
01522800 -4269.73 -6168.93 7502.15 -2.176047
01522860 -4268.73 -6168.88 7502.41 -2.176288
01522920 -4267.36 -6168.42 7502.97 -2.175973
01522980 -4266.86 -6169.72 7502.90 -2.175818
01523040 -4267.39 -6170.80 7503.42 -2.175736
01523100 -4266.69 -6171.40 7502.67 -2.175728
01523160 -4265.41 -6171.69 7503.65 -2.175783
01523220 -4265.25 -6171.27 7504.06 -2.175519
01523280 -4264.47 -6171.99 7502.23 -2.175445
01523340 -4264.38 -6172.57 7501.60 -2.175363
01523400 -4263.98 -6173.11 7502.00 -2.175292
01523460 -4262.82 -6173.17 7503.53 -2.175001
01523520 -4263.35 -6173.98 7503.81 -2.175045
01523580 -4262.17 -6174.35 7501.70 -2.175048
01523640 -4260.95 -6175.40 7503.27 -2.174798
01523700 -4261.67 -6175.81 7501.80 -2.174623
01523760 -4259.63 -6176.48 7502.18 -2.174602
01523820 -4259.06 -6176.49 7502.14 -2.174509
01523880 -4258.91 -6177.34 7503.32 -2.174370
01523940 -4258.30 -6178.22 7503.54 -2.174604
01524000 -4257.65 -6178.29 7503.84 -2.174082
01524060 -4257.07 -6179.00 7502.97 -2.174033
01524120 -4256.52 -6179.24 7503.95 -2.173972
01524180 -4256.12 -6180.32 7502.31 -2.173800
01524240 -4255.00 -6179.37 7505.13 -2.173646
01524300 -4254.51 -6180.64 7503.70 -2.173680
01524360 -4254.03 -6179.89 7504.11 -2.173673
01524420 -4253.82 -6182.23 7503.77 -2.173600
01524480 -4253.27 -6182.83 7502.87 -2.173535
01524540 -4253.35 -6183.08 7503.93 -2.173131
01524600 -4252.49 -6183.38 7503.83 -2.173175
01524660 -4250.59 -6183.88 7503.41 -2.173119
01524720 -4251.18 -6184.06 7504.00 -2.173039
01524780 -4249.29 -6185.10 7505.50 -2.172804
01524840 -4250.27 -6184.32 7504.34 -2.172911
01524900 -4248.89 -6186.53 7504.66 -2.172662
01524960 -4249.13 -6186.12 7503.03 -2.172431
01525020 -4248.58 -6186.56 7504.79 -2.172651
01525080 -4247.35 -6186.59 7505.09 -2.172555
01525140 -4246.10 -6187.62 7505.89 -2.172207
01525200 -4247.19 -6188.12 7505.79 -2.172242
01525260 -4245.94 -6188.18 7505.85 -2.172185
01525320 -4245.46 -6189.24 7506.08 -2.172091
01525380 -4244.64 -6189.66 7505.75 -2.171757
01525440 -4243.63 -6189.76 7504.81 -2.171809
01525500 -4244.26 -6190.42 7505.80 -2.171677
01525560 -4243.77 -6191.64 7505.43 -2.171648
01525620 -4242.17 -6191.67 7504.92 -2.171321
01525680 -4241.69 -6191.30 7505.89 -2.171342
01525740 -4241.67 -6192.64 7506.66 -2.171123
01525800 -4241.60 -6192.78 7505.38 -2.171212
01525860 -4240.24 -6193.90 7507.18 -2.171052
01525920 -4239.11 -6194.15 7505.28 -2.171026
01525980 -4238.52 -6194.17 7505.65 -2.171050
01526040 -4238.98 -6194.48 7505.29 -2.170806
01526100 -4238.04 -6195.73 7507.64 -2.170806
01526160 -4237.83 -6196.63 7506.99 -2.170807
01526220 -4236.91 -6196.09 7504.66 -2.170669
01526280 -4236.95 -6196.23 7506.77 -2.170457
01526340 -4236.42 -6197.11 7507.01 -2.170485
01526400 -4235.46 -6197.36 7505.74 -2.170225
01526460 -4234.62 -6197.68 7505.39 -2.170376
01526520 -4234.22 -6198.49 7506.45 -2.170058
01526580 -4232.26 -6200.43 7507.37 -2.170010
01526640 -4231.80 -6199.06 7506.58 -2.169743
01526700 -4233.14 -6199.70 7508.71 -2.169780
01526760 -4232.47 -6201.15 7506.92 -2.169711
01526820 -4231.54 -6200.53 7507.89 -2.169575
01526880 -4231.23 -6201.86 7506.09 -2.169369
01526940 -4229.57 -6202.06 7506.87 -2.169413
01527000 -4229.45 -6202.73 7507.76 -2.169407
01527060 -4228.79 -6203.24 7507.61 -2.169218
01527120 -4228.63 -6204.11 7506.73 -2.169067
01527180 -4228.32 -6204.78 7509.41 -2.169092
01527240 -4226.86 -6205.10 7508.32 -2.168875
01527300 -4227.83 -6205.70 7507.22 -2.168865
01527360 -4227.17 -6206.01 7507.46 -2.168795
01527420 -4226.31 -6206.97 7507.54 -2.168611
01527480 -4226.45 -6206.49 7509.67 -2.168569
01527540 -4224.95 -6208.33 7507.73 -2.168459
01527600 -4224.73 -6208.26 7508.83 -2.168299
01527660 -4225.58 -6210.19 7509.05 -2.168270
01527720 -4224.03 -6209.40 7509.73 -2.168272
01527780 -4223.52 -6209.02 7509.71 -2.168133
01527840 -4222.82 -6210.58 7512.33 -2.167746
01527900 -4223.25 -6210.53 7510.23 -2.167963
01527960 -4221.66 -6210.66 7511.17 -2.167702
01528020 -4222.09 -6212.53 7510.28 -2.167707
01528080 -4221.30 -6212.45 7511.39 -2.167506
01528140 -4221.62 -6213.57 7511.98 -2.167370
01528200 -4220.44 -6214.43 7511.08 -2.167559
01528260 -4219.77 -6214.09 7511.91 -2.167317
01528320 -4218.72 -6213.82 7511.44 -2.167310
01528380 -4218.58 -6215.50 7512.55 -2.167097
01528440 -4219.00 -6215.76 7510.17 -2.167022
01528500 -4217.41 -6216.52 7512.44 -2.166993
01528560 -4217.62 -6217.56 7513.09 -2.166691
01528620 -4217.29 -6218.71 7514.07 -2.166712
01528680 -4216.53 -6217.94 7512.58 -2.166615
01528740 -4216.66 -6218.23 7514.08 -2.166610
01528800 -4216.18 -6219.63 7512.33 -2.166325
01528860 -4215.37 -6219.92 7513.50 -2.166437
01528920 -4214.39 -6220.02 7513.12 -2.166488
01528980 -4214.14 -6220.93 7514.20 -2.166286
01529040 -4213.46 -6221.34 7514.22 -2.166242
01529100 -4214.01 -6221.57 7515.90 -2.166020
01529160 -4213.62 -6222.69 7515.35 -2.166174
01529220 -4212.33 -6222.44 7513.40 -2.165703
01529280 -4212.05 -6223.35 7515.67 -2.165692
01529340 -4210.93 -6224.50 7516.32 -2.165573
01529400 -4210.06 -6224.53 7515.06 -2.165562
01529460 -4210.16 -6224.87 7514.49 -2.165500
01529520 -4210.38 -6225.98 7516.03 -2.165545
01529580 -4208.56 -6225.76 7516.21 -2.165277
01529640 -4208.68 -6226.55 7515.44 -2.165269
01529700 -4208.54 -6226.77 7516.12 -2.165118
01529760 -4208.37 -6228.03 7515.32 -2.165000
01529820 -4207.36 -6229.01 7516.78 -2.164943
01529880 -4206.33 -6228.18 7516.82 -2.164882
01529940 -4206.17 -6229.36 7516.29 -2.164813
01530000 -4205.27 -6229.20 7516.63 -2.164709
01530060 -4206.09 -6230.13 7515.85 -2.164780
01530120 -4204.22 -6231.20 7515.66 -2.164565
01530180 -4205.34 -6231.70 7516.37 -2.164537
01530240 -4205.54 -6231.35 7517.05 -2.164387
01530300 -4204.93 -6232.08 7517.03 -2.164375
01530360 -4204.46 -6232.25 7516.83 -2.164287
01530420 -4204.25 -6231.51 7517.47 -2.164232
01530480 -4204.69 -6232.02 7517.03 -2.164165
01530540 -4204.31 -6232.57 7516.67 -2.164330
01530600 -4203.55 -6233.10 7518.66 -2.164137
01530660 -4202.91 -6233.46 7518.75 -2.164281
01530720 -4203.98 -6232.24 7515.95 -2.164046
01530780 -4203.08 -6233.49 7520.71 -2.164021
